                x            Retst            utau*        thetatau*              <r>             <mu>              <u>              {u}              <p>              <T>              {T}             <rr>           {u"u"}           {v"v"}           {w"w"}           {u"w"}             <pp>           {T"T"}              pw"
   0.40567954E-03   0.11026313E+04   0.34706143E-01   0.12478964E+00   0.23948113E+01   0.75378476E-04   0.16008440E-01   0.15932974E-01   0.19797116E+00   0.10418075E+01   0.10416005E+01   0.73720863E-02   0.26270770E-07   0.63850921E-05   0.43648208E-04  -0.11173344E-06   0.45707914E-04   0.30094199E-03   0.65822943E-05
   0.12228851E-02   0.10091614E+04   0.35945631E-01   0.12924635E+00   0.22325017E+01   0.79520162E-04   0.46494588E-01   0.45835006E-01   0.19797017E+00   0.11190257E+01   0.11173224E+01   0.12256782E-01   0.20290703E-06   0.47233150E-04   0.33668402E-03  -0.12920954E-05   0.45546469E-04   0.21436586E-02   0.17915322E-04
   0.20518628E-02   0.93501333E+03   0.37043079E-01   0.13319234E+00   0.21021798E+01   0.83283532E-04   0.75689677E-01   0.74128905E-01   0.19796855E+00   0.11904655E+01   0.11865796E+01   0.17984927E-01   0.53966401E-06   0.11265389E-03   0.83867148E-03  -0.46225583E-05   0.45390062E-04   0.49893581E-02   0.27342461E-04
   0.28927725E-02   0.87441564E+03   0.38032051E-01   0.13674830E+00   0.19942726E+01   0.86739387E-04   0.10382469E+00   0.10120918E+00   0.19796603E+00   0.12570703E+01   0.12507678E+01   0.22758600E-01   0.11167147E-05   0.19314841E-03   0.15014200E-02  -0.11098282E-04   0.45170938E-04   0.83796051E-02   0.35052749E-04
   0.37457754E-02   0.82379126E+03   0.38934021E-01   0.13999143E+00   0.19029418E+01   0.89936830E-04   0.13104924E+00   0.12731434E+00   0.19796301E+00   0.13195060E+01   0.13107779E+01   0.26317960E-01   0.20661607E-05   0.28304499E-03   0.22926694E-02  -0.21579079E-04   0.44978889E-04   0.12039468E-01   0.41568041E-04
   0.46110350E-02   0.78078760E+03   0.39763558E-01   0.14297412E+00   0.18243725E+01   0.92910728E-04   0.15745736E+00   0.15258992E+00   0.19795882E+00   0.13782464E+01   0.13671994E+01   0.28792279E-01   0.35324519E-05   0.37877087E-03   0.31871752E-02  -0.36678327E-04   0.44750736E-04   0.15787113E-01   0.46927606E-04
   0.54887165E-02   0.74377635E+03   0.40531066E-01   0.14573377E+00   0.17559331E+01   0.95687151E-04   0.18310924E+00   0.17713061E+00   0.19795400E+00   0.14336468E+01   0.14204530E+01   0.30382423E-01   0.56629771E-05   0.47805319E-03   0.41636698E-02  -0.56851931E-04   0.44555225E-04   0.19497558E-01   0.51574421E-04
   0.63789870E-02   0.71158339E+03   0.41244405E-01   0.14829866E+00   0.16957192E+01   0.98286341E-04   0.20804334E+00   0.20099561E+00   0.19794776E+00   0.14859849E+01   0.14708460E+01   0.31286379E-01   0.85913798E-05   0.57944094E-03   0.52030094E-02  -0.82315544E-04   0.44341216E-04   0.23081993E-01   0.55375179E-04
   0.72820156E-02   0.68333779E+03   0.41909588E-01   0.15069040E+00   0.16423179E+01   0.10072451E-03   0.23228398E+00   0.22422518E+00   0.19794079E+00   0.15354850E+01   0.15186183E+01   0.31663029E-01   0.12448421E-04   0.68202116E-03   0.62880410E-02  -0.11316407E-03   0.44162032E-04   0.26478513E-01   0.58716926E-04
   0.81979733E-02   0.65837377E+03   0.42531523E-01   0.15292663E+00   0.15946381E+01   0.10301502E-03   0.25584629E+00   0.24684286E+00   0.19793217E+00   0.15823341E+01   0.15639569E+01   0.31645298E-01   0.17344384E-04   0.78523691E-03   0.74028046E-02  -0.14929293E-03   0.43976392E-04   0.29643474E-01   0.61392182E-04
